M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 24732 N/A 05:18:13.23 +73:16:05.0 5.81 9.09 -7.94 -26.82 -------- A0V hip24732 5.828999996185303 5.9079999923706055 5.896999835968018
M 24831 N/A 05:19:23.69 -27:22:07.9 5.98 7.31 -3.46 -8.09 -------- A0V hip24831 5.98799991607666 6.0269999504089355 6.02400016784668
M 24915 N/A 05:20:22.98 -26:34:05.0 8.86 4.45 5.19 2.31 -------- A0V hip24915 8.859000205993652 8.902000427246094 8.904000282287598
M 24924 N/A 05:20:25.37 -55:04:28.0 9.08 2.01 1.53 3.23 -------- A0Vs hip24924 8.831999778747559 8.822999954223633 8.793000221252441
M 24940 N/A 05:20:33.73 -66:58:53.7 11.26 -0.87 9.68 -36.33 -------- A0V hip24940 10.815999984741211 10.701000213623047 10.666000366210938
M 25117 N/A 05:22:36.35 -19:51:17.8 8.73 3.98 1.75 5.57 -------- A0V hip25117 8.668999671936035 8.73900032043457 8.682000160217285
M 25121 N/A 05:22:38.82 -01:02:33.9 9.01 4.16 -2.07 -4.08 -------- A0V hip25121 8.739999771118164 8.788999557495117 8.744000434875488
M 25177 N/A 05:23:07.86 -17:13:26.1 8.26 5.06 -11.6 0.19 -------- A0V hip25177 8.163999557495117 8.130999565124512 8.074999809265137
M 25197 N/A 05:23:27.85 +57:32:39.8 5.24 9.59 14.94 -55.97 05234+5732 A0Vn hip25197 5.658999919891357 5.1570000648498535 5.1579999923706055
M 25280 N/A 05:24:28.49 -16:58:32.8 5.64 14.84 34.67 -15.86 -------- A0V hip25280 5.646999835968018 5.677999973297119 5.64900016784668
M 25347 N/A 05:25:18.26 -23:10:15.1 8.45 2.66 -2.66 3.28 -------- A0V hip25347 8.378999710083008 8.38700008392334 8.390999794006348
M 25453 N/A 05:26:38.82 +06:52:07.2 6.41 10.68 9.64 -32.53 -------- A0Vn hip25453 6.394000053405762 6.418000221252441 6.438000202178955
M 25593 N/A 05:28:10.46 +35:55:25.9 10.55 0.67 0.32 -5.07 -------- A0V hip25593 9.902999877929688 9.833999633789062 9.798999786376953
M 25608 N/A 05:28:15.34 -37:13:50.8 5.56 11.1 11.9 67.75 -------- A0V hip25608 5.519000053405762 5.50600004196167 5.501999855041504
M 25617 N/A 05:28:21.54 -53:53:07.1 8.01 4.27 -4.65 -1.04 -------- A0V hip25617 8.052000045776367 8.114999771118164 8.104999542236328
M 25832 N/A 05:30:54.48 -32:06:41.8 8.52 2.06 7.1 15.78 -------- A0V hip25832 8.383000373840332 8.41100025177002 8.383999824523926
